order-id,purchase-date,sku,quantity-purchased
113-6169064-5420213,2022-07-19T15:30:17-07:00,27-1TVA-IET3,1.0
114-3674537-5547447,2022-07-19T15:33:26-07:00,724300,1.0
113-0117598-9587430,2022-07-19T15:37:06-07:00,36150,1.0
112-3450632-5061849,2022-07-19T15:43:33-07:00,724300,2.0
113-3423256-0525816,2022-07-19T15:59:33-07:00,36500,2.0
114-5485566-2083460,2022-07-19T16:52:16-07:00,88369,1.0
111-9231102-6287429,2022-07-19T17:10:42-07:00,MH-2SJR-ID3C,1.0
113-0578538-7989831,2022-07-19T17:16:45-07:00,724304,1.0
112-4767173-4045060,2022-07-19T17:19:46-07:00,11500,1.0
111-2810801-0875453,2022-07-19T20:56:14-07:00,36500,2.0
111-7113970-3081830,2022-07-20T04:37:57-07:00,36150,2.0
114-8730657-2816226,2022-07-20T04:59:51-07:00,10311C,1.0
111-1317939-2958665,2022-07-20T05:09:14-07:00,30150,1.0
112-9445447-0402628,2022-07-20T05:25:58-07:00,10316,1.0
113-8254769-6151443,2022-07-20T05:29:52-07:00,30650,2.0
114-2770201-1194645,2022-07-20T05:31:27-07:00,36500,1.0
113-7194048-0170609,2022-07-20T05:53:51-07:00,36500,4.0
111-2370682-9700215,2022-07-20T06:05:33-07:00,36500,1.0
112-5343837-4039460,2022-07-20T06:21:21-07:00,10311C,1.0
112-5343837-4039460,2022-07-20T06:21:21-07:00,10316,1.0
114-6030498-5440263,2022-07-20T06:23:05-07:00,36500,2.0
111-6562686-8805861,2022-07-20T06:38:19-07:00,22150,1.0
111-2079865-1395430,2022-07-13T11:53:16-07:00,10334C,1.0
111-2079865-1395430,2022-07-13T11:53:16-07:00,10336C,1.0
112-2373107-0424216,2022-07-20T06:45:17-07:00,36500,1.0
113-8378409-0308263,2022-07-20T06:56:30-07:00,17500,2.0
112-8485741-0488260,2022-07-20T06:59:51-07:00,2209,1.0
113-8681395-5561810,2022-07-20T07:35:30-07:00,22150,1.0
114-1783781-2446630,2022-07-20T07:49:25-07:00,936150,1.0
111-8788829-2273034,2022-07-20T07:53:13-07:00,10316,2.0
111-1320249-3126668,2022-07-20T07:56:44-07:00,724150,2.0
113-1736334-1273856,2022-07-20T08:06:11-07:00,36150,1.0
113-3177637-2986619,2022-07-20T08:18:49-07:00,730300,3.0
111-4887624-3236226,2022-07-20T08:22:11-07:00,36500,1.0
114-7184271-9568234,2022-07-20T08:32:41-07:00,36500,1.0
114-1512754-7786642,2022-07-20T08:35:01-07:00,791192,1.0
114-7880753-5478615,2022-07-20T08:27:27-07:00,36500,1.0
111-9575225-7782600,2022-07-20T08:47:43-07:00,730300,2.0
111-1756099-7393037,2022-07-20T08:53:01-07:00,36150,1.0
114-4082552-8644220,2022-07-20T09:08:31-07:00,724150,2.0
111-1664096-7104221,2022-07-19T09:24:23-07:00,777802,1.0
113-6437127-8764224,2022-07-20T09:24:03-07:00,771851,1.0
113-2082013-6073022,2022-07-18T10:53:10-07:00,10336C,1.0
114-3208170-4292250,2022-07-20T09:27:11-07:00,791192,1.0
112-8605335-3899428,2022-07-20T09:33:18-07:00,24124,1.0
113-1177623-9623435,2022-07-20T09:50:36-07:00,791193,1.0
112-2426717-8237865,2022-07-20T09:57:19-07:00,722500,4.0
111-8346622-1752262,2022-07-20T10:09:51-07:00,772589,1.0
114-9033996-4285065,2022-07-20T10:51:13-07:00,112000PLT,2.0
113-8388275-3624260,2022-07-20T10:56:10-07:00,10311C,1.0
112-8251661-5690658,2022-07-20T11:03:46-07:00,724304,2.0
114-8124233-2282654,2022-07-20T10:45:17-07:00,10311C,1.0
111-9228253-8480212,2022-07-20T11:16:24-07:00,724300,2.0
113-2389996-1317055,2022-07-20T11:17:55-07:00,724300,2.0
113-2576918-5139435,2022-07-20T11:26:39-07:00,27-1TVA-IET3,2.0
111-8650771-4715411,2022-07-20T11:35:55-07:00,36500,1.0
111-9912493-1437050,2022-07-20T11:49:01-07:00,36150,1.0
111-0282156-4413866,2022-07-20T12:12:16-07:00,10316,2.0
111-8246484-0825832,2022-07-20T12:17:06-07:00,10316,1.0
112-7313276-0114643,2022-07-20T12:06:32-07:00,724300,1.0
111-1514389-0174661,2022-07-20T12:16:46-07:00,791192,1.0
